Distance,Cross level,Curvature,Lateral,Vertical,Gauge
0.0,0.081,0.002,1.308,1.155,0.345
0.25,0.251,0.002,1.282,1.157,0.151
0.5,0.421,0.002,1.256,1.159,-0.043
0.75,0.416,0.002,1.297,0.858,0.033
1.0,0.412,0.002,1.337,0.558,0.11
1.25,0.254,0.003,1.425,0.524,0.115
1.5,0.095,0.004,1.512,0.49,0.121
1.75,-0.029,0.004,1.563,0.27,0.269
2.0,-0.153,0.004,1.614,0.051,0.417
2.25,-0.145,0.004,1.519,-0.078,0.233
2.5,-0.137,0.004,1.423,-0.206,0.049
2.75,-0.084,0.003,1.405,-0.271,-0.01
3.0,-0.031,0.001,1.388,-0.335,-0.07
3.25,0.047,0.001,1.397,-0.245,-0.37
3.5,0.125,0.001,1.407,-0.154,-0.67
3.75,0.121,0.002,1.249,-0.002,-0.775
4.0,0.116,0.003,1.092,0.15,-0.88
4.25,0.054,0.003,0.948,0.392,-0.973
4.5,-0.009,0.002,0.804,0.635,-1.067
4.75,-0.184,0.002,0.779,0.839,-1.043
5.0,-0.357,0.002,0.753,1.044,-1.02
5.25,-0.388,0.002,0.739,1.293,-1.058
5.5,-0.419,0.002,0.725,1.543,-1.097
5.75,-0.539,0.002,0.745,1.541,-0.981
6.0,-0.659,0.002,0.766,1.538,-0.865
6.25,-0.673,0.003,0.779,1.544,-0.641
6.5,-0.688,0.005,0.792,1.551,-0.418
6.75,-0.748,0.005,0.889,1.434,-0.328
7.0,-0.808,0.005,0.985,1.316,-0.239
7.25,-0.719,0.005,0.878,1.044,-0.253
7.5,-0.63,0.005,0.77,0.771,-0.268
7.75,-0.37,0.006,0.687,0.469,-0.527
8.0,-0.109,0.006,0.605,0.167,-0.786
8.25,0.065,0.007,0.666,-0.008,-0.817
8.5,0.238,0.008,0.727,-0.184,-0.849
8.75,0.335,0.007,0.686,-0.418,-0.911
9.0,0.432,0.006,0.645,-0.652,-0.973
9.25,0.438,0.006,0.532,-0.789,-1.013
9.5,0.443,0.006,0.419,-0.927,-1.052
9.75,0.36,0.006,0.316,-1.055,-0.962
10.0,0.278,0.006,0.212,-1.182,-0.873
10.25,0.127,0.006,0.123,-1.249,-0.859
10.5,-0.025,0.006,0.035,-1.316,-0.846
10.75,-0.16,0.006,-0.054,-1.366,-0.941
11.0,-0.295,0.006,-0.143,-1.417,-1.036
11.25,-0.346,0.007,-0.095,-1.614,-0.974
11.5,-0.398,0.008,-0.047,-1.811,-0.913
11.75,-0.351,0.008,0.205,-2.122,-1.034
12.0,-0.304,0.008,0.457,-2.433,-1.155
12.25,-0.171,0.008,0.566,-2.822,-0.902
12.5,-0.038,0.008,0.676,-3.211,-0.648
12.75,0.17,0.013,0.708,-3.597,-0.468
13.0,0.377,0.018,0.74,-3.984,-0.288
13.25,0.489,0.019,0.757,-4.361,-0.237
13.5,0.6,0.021,0.773,-4.739,-0.187
13.75,0.604,0.019,0.825,-5.188,-0.155
14.0,0.607,0.018,0.878,-5.637,-0.123
14.25,0.576,0.018,1.006,-5.941,-0.064
14.5,0.545,0.018,1.135,-6.245,-0.006
14.75,0.488,0.018,1.104,-6.394,-0.108
15.0,0.432,0.018,1.073,-6.543,-0.211
15.25,0.465,0.018,1.074,-6.409,-0.159
15.5,0.498,0.018,1.074,-6.274,-0.108
15.75,0.706,0.018,0.822,-5.926,-0.316
16.0,0.914,0.018,0.57,-5.579,-0.524
16.25,1.043,0.017,0.343,-5.319,-0.533
16.5,1.172,0.016,0.116,-5.059,-0.543
16.75,1.298,0.016,-0.063,-4.846,-0.765
17.0,1.424,0.016,-0.241,-4.633,-0.986
17.25,1.414,0.016,-0.224,-4.362,-0.743
